datetime,STOCK_RRB,STOCK_SOC,STOCK_rate,KRC_COB,KRC_BLR,KRC_BDM,KRC_BVA,KRC_CWO,KRC_HML,KRC_ID4,KRC_KCWA,KRC_KND,KRC_LHL,KRC_RRB,KRC_SMI,KRC_TJC,KRC_WRM,KRC_rate,POSO_NKN,POSO_SFW,POSO_CWO,POSO_SMI,POSO_rate,R21_RRB,R21_ARV,R21_DLE,R21_SOC,R21_BVA,R21_rate,PIO_BLR,PIO_BDM,PIO_BVA,PIO_HML,PIO_ID4,PIO_KCWA,PIO_KND,PIO_LHL,PIO_RRB,PIO_SMI,PIO_TJC,PIO_WRM,PIO_rate,KWB_DLR,KWB_KCWA,KWB_ID4,KWB_SMI,KWB_TJC,KWB_PVT,KWB_WRM,KWB_rate,BRM_BLR,BRM_BDM,BRM_LHL,BRM_WRM,BRM_rate,B2800_COB,B2800_BLR,B2800_BDM,B2800_BVA,B2800_CWO,B2800_HML,B2800_ID4,B2800_KCWA,B2800_KND,B2800_LHL,B2800_RRB,B2800_SMI,B2800_TJC,B2800_WRM,B2800_rate,WKB_WKN,WKB_rate,IVR_SOC,IVR_RRB,IVR_rate,NKB_NKN,NKB_CWO,NKB_DLE,NKB_rate
1905-10-01,0.0,0.0,0.29752066065599997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396694214208,0.0,0.0,0.0,0.0,0.0,0.74448,0.74448,0.74448,0.74448,0.74448,0.793388428416,0.030297520610135995,0.06059504122027199,0.11513064727622765,0.16966618437447245,0.19996370498460844,0.2545003912615589,0.30903592835980365,0.33933344896993967,0.39386949681687383,0.42416701742700796,0.45446484699083717,0.48476032976217587,0.5157024784704,0.10776046454876911,0.4630238064397133,0.5707842709884824,0.6454996866371612,0.6700491388297405,0.8495005569244682,1.11867768406656,1.1900826426239999,0.010721889362862284,0.06774923103957085,0.07699159331131328,0.09322314033888,0.1785123963936,0.9306,0.9306,0.9306,0.9306,0.9306,0.9306,0.9306,0.9306,0.9306,0.9306,0.9306,0.9306,0.9306,0.9306,0.9917355355199999,0.0,0.198347107104,0.0,0.0,0.0,0.26624528880784126,0.5246598338272166,0.7830743788465919,0.8330578498368
1905-10-02,0.0,0.0,0.29752066065599997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396694214208,0.0,0.0,0.0,0.0,0.0,1.48896,1.48896,1.48896,1.48896,1.48896,0.793388428416,0.0605950414844198,0.12119008292819952,0.2302612260875041,0.3393323002841085,0.3999273416944093,0.5089995652317254,0.6180706394295771,0.6786656807883775,0.7877372658522103,0.8483323058596025,0.9089276561345615,0.9695206595243517,0.5157024784704,0.21557358553164954,0.7979255671087128,1.049032845283346,1.1985001857715063,1.2728238157485017,1.686274567049323,2.2373553681331195,1.1900826426239999,0.029901555362862292,0.18894126903957084,0.21471667091131325,0.26073114033887995,0.1785123963936,1.8612,1.8612,1.8612,1.8612,1.8612,1.8612,1.8612,1.8612,1.8612,1.8612,1.8612,1.8612,1.8612,1.8612,0.9917355355199999,0.18612,0.198347107104,0.0,0.0,0.0,0.5324905776156825,1.0493196676544332,1.5661487576931838,0.8330578498368
1905-10-03,0.0,0.0,0.29752066065599997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396694214208,0.0,0.0,0.0,0.0,0.0,2.23344,2.23344,2.23344,2.23344,2.23344,0.793388428416,0.09093592444589872,0.18185624005167803,0.34546328641180246,0.5090699059416721,0.5999820522151872,0.7636044914211446,0.9272112004191502,1.018115222454879,1.181722352851871,1.2726149168314564,1.3635066503046265,1.4542809892865278,0.5157024784704,0.32329364209162265,1.1092347533486708,1.5252848085379893,1.749439547909208,1.8487892971379802,2.5358760599374888,3.3560330521996797,1.1900826426239999,0.059529719428535494,0.3228314075111699,0.3659468957101673,0.42819291216530075,0.1785123963936,2.7918,2.7918,2.7918,2.7918,2.7918,2.7918,2.7918,2.7918,2.7918,2.7918,2.7918,2.7918,2.7918,2.7918,0.9917355355199999,0.37224,0.198347107104,0.0,0.0,0.0,0.7987358664235238,1.57397950148165,2.349223136539776,0.8330578498368
1905-10-04,0.0,0.0,0.29752066065599997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396694214208,0.0,0.0,0.0,0.0,0.0,2.97792,2.97792,2.97792,2.97792,2.97792,0.793388428416,0.12123344532078398,0.24245128176063782,0.4605938652214383,0.6787360218496074,0.7999456889236091,1.0181036653901538,1.2362459114870532,1.3574474542716437,1.5755901218856678,1.696780205263724,1.817969459448158,1.9390413190487037,0.5157024784704,0.43104146109981123,1.3886831664778378,1.9632742444181028,2.26213563168793,2.4230018074258917,3.367395000274472,4.474710736266239,1.1900826426239999,0.0787093854285355,0.44402344551116985,0.5036719733101672,0.5957009121653006,0.1785123963936,3.7224,3.7224,3.7224,3.7224,3.7224,3.7224,3.7224,3.7224,3.7224,3.7224,3.7224,3.7224,3.7224,3.7224,0.9917355355199999,0.55836,0.198347107104,0.0,0.0,0.0,1.064981155231365,2.0986393353088664,3.1322975153863677,0.8330578498368
1905-10-05,0.0,0.0,0.29752066065599997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396694214208,0.0,0.0,0.0,0.0,0.0,3.7224000000000004,3.7224000000000004,3.7224000000000004,3.7224000000000004,3.7224000000000004,0.793388428416,0.15153096619594428,0.3030463234701054,0.5757244440315844,0.8484021377580531,0.999909325632739,1.27260283936004,1.5452806225558335,1.69677968608943,1.9694578909206095,2.1209454936958783,2.2724322685916807,2.42380164881088,0.5157024784704,0.5387931369383643,1.6540643137767554,2.388695402555151,2.762266111846096,2.9943756972832296,4.198374076078686,5.593388420332801,1.1900826426239999,0.09788905142853552,0.5652154835111699,0.6413970509101673,0.7632089121653007,0.1785123963936,4.653,4.653,4.653,4.653,4.653,4.653,4.653,4.653,4.653,4.653,4.653,4.653,4.653,4.653,0.9917355355199999,0.74448,0.198347107104,0.0,0.0,0.0,1.3312264440392063,2.623299169136083,3.91537189423296,0.8330578498368
1905-10-06,0.0,0.0,0.29752066065599997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396694214208,0.0,0.0,0.0,0.0,0.0,4.466880000000001,4.466880000000001,4.466880000000001,4.466880000000001,4.466880000000001,0.793388428416,0.18182848707110458,0.3636413651795729,0.6908550228417304,1.0180682536664984,1.1998729623418687,1.5271020133299256,1.8543153336246134,2.0361119179072156,2.3633256599555508,2.545110782128032,2.7268950777352026,2.908561978573055,0.5157024784704,0.6465459366868346,1.9129493317407973,2.808057247970422,3.256338058542271,3.5649223913990133,5.029195831221877,6.712066104399359,1.1900826426239999,0.11706871742853553,0.6864075215111699,0.7791221285101673,0.9307169121653007,0.1785123963936,5.5836,5.5836,5.5836,5.5836,5.5836,5.5836,5.5836,5.5836,5.5836,5.5836,5.5836,5.5836,5.5836,5.5836,0.9917355355199999,0.9306000000000001,0.198347107104,0.0,0.0,0.0,1.5974717328470476,3.1479590029633,4.698446273079552,0.8330578498368
1905-10-07,0.0,0.0,0.29752066065599997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396694214208,0.0,0.0,0.0,0.0,0.0,5.211360000000001,5.211360000000001,5.211360000000001,5.211360000000001,5.211360000000001,0.793388428416,0.21212600794626488,0.4242364068890404,0.8059856016518764,1.187734369574944,1.3998365990509987,1.7816011872998114,2.1633500446933938,2.375444149725002,2.757193428990493,2.969276070560186,3.1813578868787253,3.3933223083352315,0.5157024784704,0.7542990639256667,2.168734660088453,3.2244466855277842,3.7474378244450604,4.135228053178957,5.859971745502384,7.830743788465918,1.1900826426239999,0.13624838342853554,0.8075995595111699,0.9168472061101672,1.0982249121653007,0.1785123963936,6.5142,6.5142,6.5142,6.5142,6.5142,6.5142,6.5142,6.5142,6.5142,6.5142,6.5142,6.5142,6.5142,6.5142,0.9917355355199999,1.1167200000000002,0.198347107104,0.0,0.0,0.0,1.8637170216548888,3.6726188367905164,5.481520651926144,0.8330578498368
1905-10-08,0.0,0.0,0.29752066065599997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396694214208,0.0,0.0,0.0,0.0,0.0,5.955840000000001,5.955840000000001,5.955840000000001,5.955840000000001,5.955840000000001,0.793388428416,0.2424668909077436,0.4849025640125186,0.9211876619761745,1.3574719752325075,1.5998913095717762,2.0362061134892304,2.4724906056829665,2.714893691391503,3.151178515990153,3.3935586815320393,3.6359368810487895,3.8780826380974074,0.5157024784704,0.8620297263527386,2.4495781782391743,3.676120759360596,4.273806650709116,4.701469053843378,6.709546745772424,8.94942147253248,1.1900826426239999,0.16564593226708432,0.9411917953366015,1.0677348082716087,1.2656875886789951,0.1785123963936,7.4448,7.4448,7.4448,7.4448,7.4448,7.4448,7.4448,7.4448,7.4448,7.4448,7.4448,7.4448,7.4448,7.4448,0.9917355355199999,1.138532816813474,0.198347107104,0.0,0.0,0.0,2.12996231046273,4.197278670617733,6.264595030772735,0.8330578498368
1905-10-09,0.0,0.0,0.29752066065599997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396694214208,0.0,0.0,0.0,0.0,0.0,6.700320000000001,6.700320000000001,6.700320000000001,6.700320000000001,6.700320000000001,0.793388428416,0.2728663099607043,0.5456647225493929,1.0364862179263163,1.5273060876326066,1.8000689641844398,2.2909537987970308,2.7817740576815515,3.054501594342316,3.5453219744671594,3.8179994287356154,4.090660798072874,4.362842967859583,0.5157024784704,0.9697624452091236,2.744867644351509,4.143382394615652,4.815764464214909,5.265824521997068,7.5591166092445,10.06809915659904,1.1900826426239999,0.1950434811056331,1.074784031162033,1.21862241043305,1.4331502651926893,0.1785123963936,8.375399999999999,8.375399999999999,8.375399999999999,8.375399999999999,8.375399999999999,8.375399999999999,8.375399999999999,8.375399999999999,8.375399999999999,8.375399999999999,8.375399999999999,8.375399999999999,8.375399999999999,8.375399999999999,0.9917355355199999,1.3246528168134741,0.198347107104,0.0,0.0,0.0,2.3962075992705714,4.72193850444495,7.047669409619328,0.8330578498368
1905-10-10,0.0,0.0,0.29752066065599997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396694214208,0.0,0.0,0.0,0.0,0.0,7.444800000000002,7.444800000000002,7.444800000000002,7.444800000000002,7.444800000000002,0.793388428416,0.3031834229930859,0.6062918960863141,1.151649093977702,1.6970045045030684,2.000073750423091,2.5455007543561257,3.0908565944835695,3.393886829759366,3.93924275070209,4.242217726417375,4.545176055663159,4.847603297621759,0.5157024784704,1.0774939736204425,3.0445394219228996,4.613384676062348,5.360462098520597,5.832919563456876,8.408689446354304,11.1867768406656,1.1900826426239999,0.22444102994418189,1.2083762669874645,1.3695100125944915,1.6006129417063835,0.1785123963936,9.306,9.306,9.306,9.306,9.306,9.306,9.306,9.306,9.306,9.306,9.306,9.306,9.306,9.306,0.9917355355199999,1.5107728168134742,0.198347107104,0.0,0.0,0.0,2.6624528880784126,5.246598338272166,7.83074378846592,0.8330578498368
